cntry.name,year,mean_pre,mean_rad,mean_tmn,mean_tmp,mean_tmx,NY.GDP.MKTP.KD,SP.POP.TOTL,AG.LND.AGRI.K2,AG.PRD.CROP.XD,NV.AGR.TOTL.KD
France,1961,64.2437052,145.6924101,7.800672104,12.13820723,16.52275804,6.24E+11,47240543,345390,63.87,16581200419
France,1962,61.66956465,142.6552969,6.351396161,10.56684747,14.82301585,6.66E+11,47904877,344400,81.68,18051193851
France,1963,70.18220192,135.815519,6.2318553,10.16141931,14.12934106,7.08E+11,48582611,343540,73.13,17128206383
France,1964,58.96458011,140.1725579,7.180271305,11.27346043,15.41254468,7.55E+11,49230595,341090,74.48,17306017230
France,1965,81.06371527,134.3395084,6.820486072,10.76427255,14.75466922,7.92E+11,49818028,340010,79.96,17914103138
France,1966,79.44331556,135.351254,7.64358667,11.57371323,15.55336045,8.33E+11,50330262,338460,72.25,17825876353
France,1967,61.69391893,141.5661512,7.35826455,11.48626591,15.66060402,8.74E+11,50775794,336290,77.95,19230717752
France,1968,74.45058835,135.2392636,7.147168753,11.0754123,15.04886953,9.14E+11,51175508,331780,81.25,20053262550
France,1969,68.75935041,139.3540938,7.019055731,11.1053639,15.23703448,9.79E+11,51561836,331730,74.34,19635203505
France,1970,69.15406011,139.403023,7.17318914,11.18622865,15.24778282,1.04E+12,51957738,324950,83.33,20084481225
France,1971,61.8967473,144.5121477,6.943648817,11.23641344,15.57499083,1.09E+12,52371342,326230,81.03,20049190588
France,1972,70.54069786,136.8073304,6.887786211,10.92392749,15.00489857,1.14E+12,52793138,325150,78.4,21622341505
France,1973,57.94054256,144.1271537,6.992403404,11.23540311,15.52281844,1.22E+12,53207734,324600,92.07,23214495081
France,1974,74.24145073,139.0869741,7.518365005,11.52267185,15.57639105,1.27E+12,53592233,324420,86.97,22234499374
France,1975,68.20851156,141.0761813,7.419585923,11.42130273,15.47332089,1.26E+12,53931390,323570,78.19,20878522032
France,1976,59.89933467,149.8320605,7.511870997,11.78473322,16.09995161,1.31E+12,54220022,320210,77.22,20274508087
France,1977,80.37826091,134.2824519,7.602840678,11.44609682,15.33794412,1.36E+12,54467702,319100,73.7,20737359228
France,1978,68.27600462,136.8189928,6.934063035,10.89752674,14.9069885,1.41E+12,54691851,319610,83.97,23769644969
France,1979,80.30995059,135.2932368,7.217826917,11.096742,15.0181094,1.46E+12,54917118,318340,92.25,25779857591
France,1980,70.78357346,135.08362,6.908433055,10.77526766,14.68884109,1.48E+12,55161527,317220,90.37,25336009111
France,1981,80.36512784,133.3207478,7.506790632,11.40763316,15.35281052,1.50E+12,55430296,316870,83.73,25041467487
France,1982,76.12431402,140.8799993,7.982190026,12.07095036,16.20620385,1.54E+12,55718933,316460,95.36,29209842311
France,1983,68.39711625,139.5629575,7.760726025,11.86004812,16.00275419,1.56E+12,56023770,315650,86.71,27272925775
France,1984,76.41548559,139.2860445,7.162430598,11.2101144,15.30021979,1.58E+12,56337666,315080,97.15,28552892346
